Entity,Code,Year,Terrorist attacks Unknown,Terrorist attacks Hijacking,Terrorist attacks Hostage Taking (Barricade Incident),Terrorist attacks Unarmed Assault,Terrorist attacks Facility/Infrastructure Attack,Terrorist attacks Hostage Taking (Kidnapping),Terrorist attacks Assassination,Terrorist attacks Armed Assault,Terrorist attacks Bombing/Explosion,Terrorist attacks,Terrorism deaths
Guadeloupe,GLP,1997,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,1997,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,1997,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,1997,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,1997,0,0,0,0,0,0,0,0,0,0,0
Iran,IRN,1997,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,1997,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,1997,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,1997,0,0,0,0,0,0,0,0,0,0,0
Liberia,LBR,1997,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,1997,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,1997,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,1997,0,0,0,0,0,0,0,0,0,0,0
Malaysia,MYS,1997,0,0,0,0,0,0,0,0,0,0,0
Maldives,MDV,1997,0,0,0,0,0,0,0,0,0,0,0
Martinique,MTQ,1997,0,0,0,0,0,0,0,0,0,0,0
Mauritania,MRT,1997,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,1997,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,1997,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,1997,0,0,0,0,0,0,0,0,0,0,0
Namibia,NAM,1997,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,1997,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,1997,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,1997,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,1997,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,1997,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,1997,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,1997,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,1997,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,1997,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,1997,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1997,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,1997,0,0,0,0,0,0,0,0,0,0,0
South Korea,KOR,1997,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,1997,0,0,0,0,0,0,0,0,0,0,0
Togo,TGO,1997,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,1997,0,0,0,0,0,0,0,0,0,0,0
Tunisia,TUN,1997,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,1997,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1997,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,1997,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,1997,0,0,0,0,0,0,0,0,0,0,0
Vatican,VAT,1997,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,WLF,1997,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,ESH,1997,0,0,0,0,0,0,0,0,0,0,0
Yemen Arab Republic,OWID_YAR,1997,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,1997,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,ZWE,1997,0,0,0,0,0,0,0,0,0,0,0
East Germany,OWID_GDR,1998,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,OWID_CZS,1998,0,0,0,0,0,0,0,0,0,0,0
USSR,OWID_USS,1998,0,0,0,0,0,0,0,0,0,0,0
Kosovo,OWID_KOS,1998,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,1998,0,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,OWID_SRM,1998,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,1998,0,0,0,0,0,0,0,0,0,0,0
West Germany,OWID_GFR,1998,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1998,0,0,0,0,0,0,0,0,1,1,8
Albania,ALB,1998,0,0,0,0,0,0,0,0,7,7,0
Algeria,DZA,1998,9,0,0,0,0,4,0,42,96,151,952
Angola,AGO,1998,5,0,0,0,2,0,0,12,1,20,275
Armenia,ARM,1998,0,0,0,0,0,0,0,0,2,2,0
Australia,AUS,1998,0,0,0,0,1,0,0,1,4,6,0
Austria,AUT,1998,0,0,0,0,0,0,0,0,1,1,0
Bangladesh,BGD,1998,0,0,0,0,0,0,0,2,0,2,0
Belgium,BEL,1998,0,0,0,0,2,0,0,0,1,3,0
Bosnia and Herzegovina,BIH,1998,0,0,0,0,1,0,0,0,8,9,2
Brazil,BRA,1998,0,0,0,0,0,0,0,0,2,2,0
Bulgaria,BGR,1998,0,0,0,1,0,0,0,0,1,2,0
Burundi,BDI,1998,1,0,0,0,1,0,0,11,0,13,392
Cambodia,KHM,1998,2,0,0,1,0,0,1,2,1,7,35
Cameroon,CMR,1998,0,0,0,0,0,0,0,0,1,1,0
Canada,CAN,1998,0,0,0,0,0,0,1,0,3,4,1
Chad,TCD,1998,0,0,0,0,0,1,0,0,0,1,0
Chile,CHL,1998,0,0,0,0,0,0,0,0,1,1,0
China,CHN,1998,0,0,0,1,0,0,0,0,1,2,50
Colombia,COL,1998,0,0,0,6,2,17,2,28,39,94,592
Cyprus,CYP,1998,0,0,0,0,0,0,0,1,0,1,0
Democratic Republic of Congo,COD,1998,0,0,0,0,0,0,0,2,2,4,67
Ecuador,ECU,1998,0,0,0,0,0,0,0,0,3,3,0
Egypt,EGY,1998,0,0,0,0,0,0,0,3,0,3,9
Eswatini,SWZ,1998,0,0,0,0,0,0,0,0,1,1,1
France,FRA,1998,0,0,0,0,0,0,1,0,11,12,1
Georgia,GEO,1998,0,0,0,0,0,2,1,4,5,12,32
Germany,DEU,1998,0,0,0,3,2,0,0,0,1,6,0
Greece,GRC,1998,0,0,0,0,7,0,0,0,21,28,0
Guyana,GUY,1998,0,0,0,0,0,0,0,0,2,2,0
Haiti,HTI,1998,0,0,0,0,0,0,0,0,1,1,0
Hungary,HUN,1998,0,0,0,0,0,0,0,0,2,2,0
India,IND,1998,0,0,0,0,0,0,1,27,33,61,398
Indonesia,IDN,1998,0,0,0,1,0,0,0,1,1,3,9
Iran,IRN,1998,0,0,0,0,0,0,1,1,3,5,6
Iraq,IRQ,1998,0,0,0,0,0,0,1,0,6,7,19
Ireland,IRL,1998,0,0,0,0,0,0,0,1,2,3,1
Israel,ISR,1998,0,0,0,0,0,0,0,2,10,12,17
Italy,ITA,1998,0,0,0,0,0,0,0,0,6,6,0
Japan,JPN,1998,0,0,0,0,0,0,0,0,1,1,0
Jordan,JOR,1998,0,0,0,0,0,0,0,0,1,1,0
Kenya,KEN,1998,0,0,0,0,0,0,1,0,1,2,226
Latvia,LVA,1998,0,0,0,0,0,0,0,0,4,4,0
Lebanon,LBN,1998,0,0,0,0,0,0,0,6,17,23,17
Macao,MAC,1998,0,0,0,0,0,0,0,0,6,6,0
Mexico,MEX,1998,0,0,0,0,0,0,0,2,0,2,3
Nigeria,NGA,1998,0,0,0,0,0,0,0,0,2,2,9
Pakistan,PAK,1998,0,0,0,0,0,0,2,11,24,37,151
Peru,PER,1998,0,0,0,0,1,0,0,1,3,5,7
Philippines,PHL,1998,0,0,0,0,1,5,0,2,10,18,6
Poland,POL,1998,0,0,0,0,1,0,0,0,1,2,0
Russia,RUS,1998,0,1,0,0,0,4,7,3,11,26,49
Rwanda,RWA,1998,0,0,0,0,0,2,0,6,1,9,100
Senegal,SEN,1998,0,0,0,0,0,0,0,1,0,1,4
Sierra Leone,SLE,1998,0,0,0,1,0,2,0,3,1,7,258
Slovakia,SVK,1998,0,0,0,0,0,0,0,0,2,2,1
Somalia,SOM,1998,0,0,0,0,0,1,0,0,0,1,0
South Africa,ZAF,1998,0,0,0,0,0,0,0,3,3,6,13
Spain,ESP,1998,0,0,0,0,4,0,2,1,10,17,6
Sri Lanka,LKA,1998,2,1,0,0,0,0,2,4,26,35,680
Switzerland,CHE,1998,0,0,0,0,0,0,0,0,1,1,0
Syria,SYR,1998,0,0,0,0,0,0,0,0,1,1,0
Tajikistan,TJK,1998,0,0,0,0,0,0,0,4,7,11,29
Tanzania,TZA,1998,0,0,0,0,0,0,0,0,1,1,11
Thailand,THA,1998,0,0,0,0,0,0,0,3,1,4,4
Turkey,TUR,1998,2,1,0,0,1,0,1,6,12,23,37
Uganda,UGA,1998,1,0,0,0,0,2,0,9,6,18,81
United Kingdom,GBR,1998,0,0,0,0,9,0,0,15,39,63,46
United States,USA,1998,0,0,0,1,19,0,0,2,9,31,4
Venezuela,VEN,1998,0,0,0,0,0,0,0,0,1,1,0
World,OWID_WRL,1998,23,3,0,15,57,43,24,255,494,914,4674
Yemen,YEM,1998,0,0,0,0,0,2,0,2,3,7,8
Yugoslavia,OWID_YGS,1998,1,0,0,0,3,1,0,31,10,46,57
Andorra,AND,1998,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1998,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,1998,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,1998,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,1998,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,1998,0,0,0,0,0,0,0,0,0,0,0
Barbados,BRB,1998,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,1998,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,1998,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,1998,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,1998,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,1998,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,1998,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,1998,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,1998,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,1998,0,0,0,0,0,0,0,0,0,0,0
Comoros,COM,1998,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,1998,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,1998,0,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,1998,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,1998,0,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,1998,0,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,1998,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,1998,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,1998,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,1998,0,0,0,0,0,0,0,0,0,0,0
East Timor,TLS,1998,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,1998,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,GNQ,1998,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,1998,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,1998,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,1998,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,FLK,1998,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,1998,0,0,0,0,0,0,0,0,0,0,0
Finland,FIN,1998,0,0,0,0,0,0,0,0,0,0,0
French Guiana,GUF,1998,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,1998,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,1998,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,1998,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,1998,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,1998,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,GLP,1998,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,1998,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,1998,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,1998,0,0,0,0,0,0,0,0,0,0,0
Honduras,HND,1998,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,1998,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,1998,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM,1998,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,1998,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,1998,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,1998,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,1998,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,1998,0,0,0,0,0,0,0,0,0,0,0
Liberia,LBR,1998,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,1998,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,1998,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,1998,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG,1998,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,1998,0,0,0,0,0,0,0,0,0,0,0
Malaysia,MYS,1998,0,0,0,0,0,0,0,0,0,0,0
Maldives,MDV,1998,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,1998,0,0,0,0,0,0,0,0,0,0,0
Malta,MLT,1998,0,0,0,0,0,0,0,0,0,0,0
Martinique,MTQ,1998,0,0,0,0,0,0,0,0,0,0,0
Mauritania,MRT,1998,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,1998,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,1998,0,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,1998,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,1998,0,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,1998,0,0,0,0,0,0,0,0,0,0,0
Namibia,NAM,1998,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,1998,0,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,1998,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,1998,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,1998,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,NIC,1998,0,0,0,0,0,0,0,0,0,0,0
Niger,NER,1998,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,1998,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,1998,0,0,0,0,0,0,0,0,0,0,0
Panama,PAN,1998,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,1998,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,1998,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,1998,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,1998,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,1998,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,1998,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,1998,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,1998,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,1998,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1998,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,1998,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,1998,0,0,0,0,0,0,0,0,0,0,0
South Korea,KOR,1998,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,1998,0,0,0,0,0,0,0,0,0,0,0
Sudan,SDN,1998,0,0,0,0,0,0,0,0,0,0,0
Suriname,SUR,1998,0,0,0,0,0,0,0,0,0,0,0
Sweden,SWE,1998,0,0,0,0,0,0,0,0,0,0,0
Taiwan,TWN,1998,0,0,0,0,0,0,0,0,0,0,0
Togo,TGO,1998,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,1998,0,0,0,0,0,0,0,0,0,0,0
Tunisia,TUN,1998,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,1998,0,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,1998,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1998,0,0,0,0,0,0,0,0,0,0,0
Uruguay,URY,1998,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,1998,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,1998,0,0,0,0,0,0,0,0,0,0,0
Vatican,VAT,1998,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,1998,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,WLF,1998,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,ESH,1998,0,0,0,0,0,0,0,0,0,0,0
Yemen Arab Republic,OWID_YAR,1998,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,1998,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,ZWE,1998,0,0,0,0,0,0,0,0,0,0,0
East Germany,OWID_GDR,1999,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,OWID_CZS,1999,0,0,0,0,0,0,0,0,0,0,0
USSR,OWID_USS,1999,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,1999,0,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,OWID_SRM,1999,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,1999,0,0,0,0,0,0,0,0,0,0,0
West Germany,OWID_GFR,1999,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1999,0,0,0,0,0,0,0,2,7,9,39
Albania,ALB,1999,0,0,0,0,0,0,1,0,2,3,6
Algeria,DZA,1999,2,0,0,0,0,1,3,56,44,106,467
Angola,AGO,1999,3,0,0,0,4,3,0,16,8,34,299
Argentina,ARG,1999,0,0,0,0,0,0,0,0,1,1,0
Armenia,ARM,1999,0,0,0,0,0,0,0,1,1,2,8
Bangladesh,BGD,1999,0,0,0,0,0,0,0,2,9,11,30
Belarus,BLR,1999,0,0,0,0,1,0,0,0,0,1,0
Belgium,BEL,1999,0,0,0,0,2,0,0,0,0,2,0
Bosnia and Herzegovina,BIH,1999,0,0,0,0,0,0,0,0,5,5,1
Brazil,BRA,1999,0,0,0,0,0,0,1,0,0,1,1
Bulgaria,BGR,1999,0,0,0,0,0,0,0,0,1,1,0
Burundi,BDI,1999,2,0,0,0,0,0,0,10,1,13,108
Cambodia,KHM,1999,0,0,0,0,1,1,0,1,5,8,1
Canada,CAN,1999,0,0,0,1,0,0,0,0,1,2,0
Chad,TCD,1999,1,0,0,0,0,0,0,0,0,1,77
Chile,CHL,1999,0,0,0,0,3,0,0,0,0,3,0
China,CHN,1999,0,0,0,0,0,0,0,0,2,2,5
Colombia,COL,1999,2,2,1,2,0,37,5,22,45,116,262
Cyprus,CYP,1999,0,0,0,0,0,0,0,1,0,1,0
Democratic Republic of Congo,COD,1999,0,0,0,0,1,0,0,2,0,3,7
Denmark,DNK,1999,0,0,0,0,0,0,0,0,1,1,0
Ecuador,ECU,1999,0,0,0,0,0,1,0,0,1,2,0
Egypt,EGY,1999,0,0,0,0,0,0,1,0,0,1,1
Estonia,EST,1999,0,0,0,0,0,0,0,0,1,1,0
Eswatini,SWZ,1999,0,0,0,0,0,0,0,0,1,1,0
Ethiopia,ETH,1999,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJI,1999,0,0,0,0,0,0,0,0,3,3,0
France,FRA,1999,0,1,1,0,1,0,0,0,43,46,0
Georgia,GEO,1999,0,0,0,0,0,2,0,1,4,7,5
Germany,DEU,1999,1,0,1,2,3,0,0,1,5,13,3
Greece,GRC,1999,0,0,0,1,7,0,0,2,25,35,1
Guatemala,GTM,1999,0,0,0,0,0,0,0,1,0,1,3
Haiti,HTI,1999,0,0,0,0,0,0,1,4,0,5,3
India,IND,1999,2,0,0,2,1,9,5,36,57,112,469
Indonesia,IDN,1999,4,0,0,2,9,6,0,36,3,60,67
Iran,IRN,1999,0,1,0,0,0,1,2,1,3,8,4
Iraq,IRQ,1999,0,0,0,0,0,1,1,2,8,12,32
Ireland,IRL,1999,0,0,0,0,1,0,0,1,1,3,0
Israel,ISR,1999,0,0,0,0,0,0,0,1,7,8,6
Italy,ITA,1999,0,0,0,0,0,0,1,1,5,7,1
Japan,JPN,1999,0,0,0,0,0,0,0,0,2,2,0
Jordan,JOR,1999,0,0,0,0,1,0,0,1,0,2,0
Kosovo,OWID_KOS,1999,2,0,0,0,2,0,1,13,21,39,23
Kyrgyzstan,KGZ,1999,0,0,0,0,0,2,0,0,1,3,1
Latvia,LVA,1999,0,0,0,0,0,0,0,0,1,1,0
Lebanon,LBN,1999,4,0,0,0,0,3,0,5,30,42,23
Liberia,LBR,1999,0,0,0,0,0,1,0,1,0,2,0
Mexico,MEX,1999,0,0,0,0,0,0,0,1,0,1,0
Mozambique,MOZ,1999,0,0,0,1,0,0,0,0,0,1,0
Myanmar,MMR,1999,0,0,0,0,0,0,0,0,4,4,10
Namibia,NAM,1999,0,0,0,0,0,0,0,1,0,1,13
Nepal,NPL,1999,1,1,0,0,0,0,1,4,1,8,23
Netherlands,NLD,1999,0,0,1,0,0,0,0,0,0,1,0
Nicaragua,NIC,1999,0,0,0,0,0,1,0,0,0,1,0
Niger,NER,1999,0,0,0,1,0,0,1,0,0,2,4
Nigeria,NGA,1999,1,0,0,0,4,7,0,6,0,18,134
Pakistan,PAK,1999,0,0,0,0,1,0,6,13,19,39,127
Panama,PAN,1999,0,0,0,0,0,0,0,0,1,1,0
Paraguay,PRY,1999,0,0,0,0,0,0,1,0,0,1,2
Peru,PER,1999,2,0,0,0,0,0,0,3,0,5,28
Philippines,PHL,1999,0,0,0,1,0,9,1,8,12,31,45
Russia,RUS,1999,0,0,0,2,3,5,6,13,25,54,395
Senegal,SEN,1999,0,0,0,0,0,0,0,0,1,1,1
Sierra Leone,SLE,1999,0,0,0,0,0,7,0,2,0,9,28
Slovakia,SVK,1999,0,0,0,0,0,0,0,1,0,1,0
Solomon Islands,SLB,1999,0,0,0,0,0,0,0,1,0,1,2
Somalia,SOM,1999,1,0,0,0,0,0,2,1,0,4,9
South Africa,ZAF,1999,1,0,0,0,1,0,3,2,10,17,4
Spain,ESP,1999,0,0,0,0,21,0,2,2,22,47,0
Sri Lanka,LKA,1999,1,0,0,0,0,0,4,6,35,46,212
Sudan,SDN,1999,0,0,0,0,0,1,0,1,3,5,16
Sweden,SWE,1999,0,0,0,0,0,0,0,0,2,2,0
Switzerland,CHE,1999,0,0,1,0,0,1,0,0,0,2,0
Tajikistan,TJK,1999,0,0,0,0,0,1,1,0,2,4,2
Thailand,THA,1999,0,0,1,0,1,0,0,0,2,4,0
Turkey,TUR,1999,4,0,0,0,11,0,6,22,66,109,127
Uganda,UGA,1999,0,0,0,0,0,2,0,11,6,19,75
Ukraine,UKR,1999,0,0,0,0,4,0,2,0,0,6,1
United Kingdom,GBR,1999,0,0,0,6,6,1,1,24,38,76,8
United States,USA,1999,0,0,0,14,23,1,0,9,7,54,20
Uzbekistan,UZB,1999,0,1,0,0,0,0,0,1,6,8,19
Venezuela,VEN,1999,0,0,0,0,0,2,0,0,3,5,0
World,OWID_WRL,1999,37,6,6,35,114,113,60,357,643,1371,3280
Yemen,YEM,1999,0,0,0,0,0,7,0,2,8,17,11
Yugoslavia,OWID_YGS,1999,3,0,0,0,2,1,1,8,8,23,14
Zambia,ZMB,1999,0,0,0,0,0,0,1,0,6,7,1
Andorra,AND,1999,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,1999,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,1999,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,1999,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,1999,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,1999,0,0,0,0,0,0,0,0,0,0,0
Barbados,BRB,1999,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,1999,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,1999,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,1999,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,1999,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,1999,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,1999,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,1999,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,1999,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,1999,0,0,0,0,0,0,0,0,0,0,0
Comoros,COM,1999,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,1999,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,1999,0,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,1999,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,1999,0,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,1999,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,1999,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,1999,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,1999,0,0,0,0,0,0,0,0,0,0,0
East Timor,TLS,1999,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,1999,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,GNQ,1999,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,1999,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,FLK,1999,0,0,0,0,0,0,0,0,0,0,0
Finland,FIN,1999,0,0,0,0,0,0,0,0,0,0,0
French Guiana,GUF,1999,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,1999,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,1999,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,1999,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,1999,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,1999,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,GLP,1999,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,1999,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,1999,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,1999,0,0,0,0,0,0,0,0,0,0,0
Honduras,HND,1999,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,1999,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,1999,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,1999,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM,1999,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,1999,0,0,0,0,0,0,0,0,0,0,0
Kenya,KEN,1999,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,1999,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,1999,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,1999,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,1999,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,1999,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,1999,0,0,0,0,0,0,0,0,0,0,0
Macao,MAC,1999,0,0,0,0,0,0,0,0,0,0,0
